activation,alpha,batch_size,beta_1,beta_2,cls_name,early_stopping,epsilon,hidden_layer_sizes,learning_rate,learning_rate_init,log_time,max_iter,momentum,nesterovs_momentum,power_t,random_state,shuffle,solver,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape,validation_fraction,verbose,warm_start
tanh,0.0041152263,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-26 18:34:12,10000,0.9,True,0.5,1,True,adam,98.1,"(1000, 784)",0.10275816917419434,4.252874851226807,142.20459580421448,0.0001,99.9822222222,"(45000, 784)",0.1,False,False
tanh,0.0049152263,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-26 18:37:05,10000,0.9,True,0.5,1,True,adam,98.1,"(1000, 784)",0.09934329986572266,4.225798845291138,146.4461669921875,0.0001,99.94,"(45000, 784)",0.1,False,False
relu,0.01,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-28 18:54:07,10000,0.9,True,0.5,1,True,adam,97.8,"(1000, 784)",0.12224435806274414,4.483934640884399,342.7906970977783,0.0001,99.9222222222,"(45000, 784)",0.1,False,False
tanh,0.0041152263,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-28 20:13:42,10000,0.9,True,0.5,1,True,adam,76.0,"(100, 784)",0.012363910675048828,0.05788421630859375,16.003037214279175,0.0001,100.0,"(500, 784)",0.1,False,False
tanh,0.0041152263,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-28 20:19:21,10000,0.9,True,0.5,1,True,adam,99.0,"(100, 784)",0.01041412353515625,4.938663005828857,273.6901843547821,0.0001,99.906,"(50000, 784)",0.1,False,False
tanh,0.0041152263,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-28 20:21:53,10000,0.9,True,0.5,1,True,adam,90.0,"(110, 784)",0.01348114013671875,4.850989580154419,1.1709942817687988,0.0001,86.914,"(50000, 784)",0.1,False,False
relu,0.01,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-02-02 15:39:15,10000,0.9,True,0.5,1,True,adam,97.8,"(1000, 784)",0.3005249500274658,6.198653221130371,265.5050401687622,0.0001,99.9222222222,"(45000, 784)",0.1,False,False
tanh,0.004,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-02-02 15:44:50,10000,0.9,True,0.5,1,True,adam,97.5,"(1000, 784)",0.09381723403930664,5.679799556732178,225.06827330589294,0.0001,99.8333333333,"(45000, 784)",0.1,False,False
relu,0.01,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-02-02 21:47:35,10000,0.9,True,0.5,1,True,adam,80.0,"(100, 784)",0.006757020950317383,6.288301944732666,292.59737277030945,0.0001,99.916,"(50000, 784)",0.1,False,False
relu,0.01,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-02-02 22:15:01,10000,0.9,True,0.5,1,True,adam,80.0,"(100, 784)",0.006863117218017578,3.735865831375122,208.8363173007965,0.0001,99.916,"(50000, 784)",0.1,False,False
