C,class_weight,cls_name,dual,fit_intercept,intercept_scaling,log_time,max_iter,multi_class,n_jobs,penalty,random_state,solver,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape,verbose,warm_start
27,,LogisticRegression,False,True,1,2018-01-26 18:06:55,1000,ovr,1,l2,,liblinear,79.6363636364,"(9900, 100)",0.004045724868774414,0.00032973289489746094,0.0170900821685791,0.0001,100.0,"(100, 100)",0,False
9,,LogisticRegression,False,True,1,2018-01-26 18:06:55,1000,ovr,1,l2,,liblinear,78.6161616162,"(9900, 100)",0.0036520957946777344,0.00026535987854003906,0.010817527770996094,0.0001,97.0,"(100, 100)",0,False
1,,LogisticRegression,False,True,1,2018-01-26 18:06:55,1000,ovr,1,l2,,liblinear,72.1414141414,"(9900, 100)",0.003673553466796875,0.00017642974853515625,0.006631374359130859,0.0001,87.0,"(100, 100)",0,False
3,,LogisticRegression,False,True,1,2018-01-26 18:06:55,1000,ovr,1,l2,,liblinear,76.5151515152,"(9900, 100)",0.007914066314697266,0.0005180835723876953,0.00857090950012207,0.0001,94.0,"(100, 100)",0,False
243,,LogisticRegression,False,True,1,2018-01-26 18:06:55,1000,ovr,1,l2,,liblinear,79.5555555556,"(9900, 100)",0.00432276725769043,0.0001842975616455078,0.013094425201416016,0.0001,100.0,"(100, 100)",0,False
0.00411522633744856,,LogisticRegression,False,True,1,2018-01-26 18:06:55,1000,ovr,1,l2,,liblinear,26.5252525253,"(9900, 100)",0.0062122344970703125,0.00028967857360839844,0.007432222366333008,0.0001,31.0,"(100, 100)",0,False
0.3333333333333333,,LogisticRegression,False,True,1,2018-01-26 18:06:55,1000,ovr,1,l2,,liblinear,65.4848484848,"(9900, 100)",0.0055942535400390625,0.00022840499877929688,0.0052416324615478516,0.0001,81.0,"(100, 100)",0,False
243,,LogisticRegression,False,True,1,2018-01-26 18:07:03,1000,ovr,1,l2,,liblinear,76.8282828283,"(9900, 500)",0.016206026077270508,0.0009362697601318359,0.4656524658203125,0.0001,100.0,"(500, 500)",0,False
0.00411522633744856,,LogisticRegression,False,True,1,2018-01-26 18:07:03,1000,ovr,1,l2,,liblinear,55.6363636364,"(9900, 500)",0.020678043365478516,0.0009222030639648438,0.08959341049194336,0.0001,67.4,"(500, 500)",0,False
0.012345679012345678,,LogisticRegression,False,True,1,2018-01-26 18:07:03,1000,ovr,1,l2,,liblinear,61.0707070707,"(9900, 500)",0.01609206199645996,0.0009038448333740234,0.11843538284301758,0.0001,71.8,"(500, 500)",0,False
