cls_name,log_time,n_components,priors,shrinkage,solver,store_covariance,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape
LinearDiscriminantAnalysis,2018-01-26 13:06:12,,,,svd,False,78.0808080808,"(9900, 37)",0.002390623092651367,0.0004494190216064453,0.004108905792236328,0.0001,95.6,"(1000, 37)"
LinearDiscriminantAnalysis,2018-01-26 13:10:18,,,,svd,False,81.8787878788,"(9900, 37)",0.002309083938598633,0.00020074844360351562,0.0026242733001708984,0.0001,99.0,"(100, 37)"
LinearDiscriminantAnalysis,2018-01-26 13:10:29,,,,svd,False,88.7,"(1000, 37)",0.0004227161407470703,0.003186464309692383,0.022361278533935547,0.0001,89.2111111111,"(9000, 37)"
LinearDiscriminantAnalysis,2018-01-26 14:06:52,,,,svd,False,15.0,"(100, 784)",0.0004763603210449219,0.0647425651550293,2.2294137477874756,0.0001,92.43,"(10000, 784)"
LinearDiscriminantAnalysis,2018-01-26 14:07:40,,,,svd,False,88.7,"(1000, 784)",0.0037097930908203125,0.05271601676940918,2.0362117290496826,0.0001,92.8777777778,"(9000, 784)"
LinearDiscriminantAnalysis,2018-01-26 14:07:47,,,,svd,False,15.0,"(100, 784)",0.00047898292541503906,0.06281232833862305,2.2242250442504883,0.0001,92.43,"(10000, 784)"
LinearDiscriminantAnalysis,2018-01-26 14:12:31,,,,svd,False,14.1,"(1000, 784)",0.0038471221923828125,0.06944966316223145,2.3052384853363037,0.0001,92.43,"(10000, 784)"
LinearDiscriminantAnalysis,2018-01-26 15:39:03,,,,svd,False,85.0,"(100, 37)",0.00016927719116210938,0.00020647048950195312,0.002554178237915039,0.0001,99.0,"(100, 37)"
LinearDiscriminantAnalysis,2018-01-26 15:39:46,,,,svd,False,83.75,"(400, 37)",0.0002894401550292969,0.0005893707275390625,0.0035762786865234375,0.0001,99.0,"(100, 37)"
LinearDiscriminantAnalysis,2018-01-28 21:25:51,,,,svd,False,81.8787878788,"(9900, 37)",0.0025053024291992188,0.00023293495178222656,0.002835988998413086,0.0001,99.0,"(100, 37)"
LinearDiscriminantAnalysis,2018-01-28 21:25:53,,,,svd,False,81.8787878788,"(9900, 37)",0.0042994022369384766,0.00021457672119140625,0.002722501754760742,0.0001,99.0,"(100, 37)"
LinearDiscriminantAnalysis,2018-01-28 21:25:55,,,,svd,False,81.8787878788,"(9900, 37)",0.004011392593383789,0.00023412704467773438,0.003423929214477539,0.0001,99.0,"(100, 37)"
